User ID,Ad ID,Click,Reward,Alpha,Beta,Reward Mean,Reward Std
1f90da9d-eee3-4473-a47f-535c94915418,3,1,4.576351747874749,2.0,1.0,4.576351747874749,0.0
3b69737a-d258-472a-8c83-0d4d5fcb5504,2,0,0,1.0,2.0,0.0,0.0
7b123b12-6cd1-4cfc-8f1e-f5edc62462e6,2,0,0,1.0,3.0,0.0,0.0
50ad2cf9-b258-45f4-ad86-6283ffd47c2a,2,0,0,1.0,4.0,0.0,0.0
840d4b54-617f-4e04-8dac-000e0a2ecb51,2,0,0,1.0,5.0,0.0,0.0
6c8f7dce-ebd9-44ba-8396-84853e13ba21,2,0,0,1.0,6.0,0.0,0.0
1142427f-c3eb-4da8-9253-5a4147c7e8a2,2,0,0,1.0,7.0,0.0,0.0
f76cfebe-d1b3-4b7b-9f04-ff07605baf53,2,0,0,1.0,8.0,0.0,0.0
29498f22-eb62-43ff-b72c-d4d7288d31a0,2,0,0,1.0,9.0,0.0,0.0
13ab4279-dd68-4722-bbd4-486ba57a94e1,2,1,2.960995996712282,2.0,9.0,2.960995996712282,0.0
b15b45ef-7ebc-4c7d-890f-e4b3ee6f2ff1,2,0,0,2.0,10.0,1.480497998356141,1.480497998356141
f364191b-bbb7-4c16-8aca-28572fa39556,2,0,0,2.0,11.0,0.7402489991780705,1.2821488768284302
9676dbef-9123-4dde-b883-35c138524cbd,2,0,0,2.0,12.0,0.37012449958903526,0.9792573800448156
00295ca0-64fc-462b-b8cd-98750025eec9,2,0,0,2.0,13.0,0.18506224979451763,0.7167430114658437
a854df4c-a859-4330-925a-e866eb8d6d83,3,1,2.5987943569227805,3.0,1.0,3.5875730523987643,0.988778695475984
98fee9d2-c361-4627-92b7-e328dea15ccd,3,0,0,3.0,2.0,2.3917153682658427,1.874017095390977
775c0694-f343-4d23-800c-6f71977d17a1,3,1,4.951048583669494,4.0,2.0,3.24482644006706,1.948561106099763
7dc7585e-6f9f-4a6d-9cec-328c1cfbfce8,3,0,0,4.0,3.0,2.433619830050295,2.195868001624466
edca9831-657c-42d2-8024-2c8de68abf12,3,1,4.300770147347989,5.0,3.0,2.9004074093747185,2.066409722938153
f45dc985-d4de-4c29-b875-7a55365f931a,3,1,4.7477534613331684,6.0,3.0,3.2698766197664084,1.9904947385392664
167e1bde-eff2-4fce-b3a9-5f629d3104fa,3,1,3.5781817536632037,7.0,3.0,3.3212608087492073,1.8206938497490963
c7ea7347-6db9-4a42-99b6-d6e778b9f630,3,0,0,7.0,4.0,2.846794978927892,2.0474550461188343
ceb7d527-7250-43ba-bd7d-34da1a8619f3,3,1,3.6490638394810846,8.0,4.0,2.9614048161497766,1.916250819265951
122fc708-a01b-4543-91c7-83cf66887561,3,0,0,8.0,5.0,2.5912292141310544,2.042602478788938
2d9b92ce-15cc-496b-8104-7b1be5bfb858,3,0,0,8.0,6.0,2.2673255623646726,2.094061079566104
11d8e983-8750-4e8b-a818-4eaef4761745,3,1,4.147126158382628,9.0,6.0,2.5023006368669174,2.055102997125864
e9c3cddf-5ae6-47b8-b87e-26d3e6a7c9dd,3,1,4.038559535044496,10.0,6.0,2.6729960699977595,1.9968153994289652
